X,Y
803.2,530.4
805.7,529.8
806.6,522.1
799.9,521.1
801.4,524
802.1,524.9
801.8,529.5
798,528.6
796.1,530.1
795.8,530
792.1,533.8
793.6,536.1
790.2,535.6
789.7,536.7
783.3,536.6
783.1,537
782.9,540.1
781,539.2
779.6,539.8
777.5,536.1
781,533.5
786.2,533.6
784.8,529.8
787.7,530.7
788.2,531.1
789.9,529.8
788.5,527.1
794,520.6
802.7,514.2
800.4,511.2
804.2,510
808.6,508
808.3,502.5
816.2,500.2
817,500.2
817,499.6
813.6,491.1
812.5,491.7
802.9,490.5
800.3,497
798.9,496.7
797.7,498.2
794.5,493.4
792.2,493.1
792.7,497
791.9,499.5
791.6,502.4
796.1,506.9
797.2,507.1
796.4,510.4
790.6,509.4
785.1,506.8
780,507.7
780.9,510.7
783.1,509.9
784,512.5
784.2,519.2
776,519.6
772.6,521.4
775.7,517.8
773.3,512.9
771.1,513.9
769.6,517.9
765.5,521.9
769.9,523.1
771.8,522.9
771,527.5
769.5,532.8
766.2,534.7
769.7,540.2
778.4,549.3
779,549.6
779.9,548.5
780.8,547.1
781.6,543
786.2,546.5
789.1,550.3
788.4,554.4
791.4,556.5
792.3,552.9
795.7,550.4
796.5,556.4
794.3,559.8
798.4,559.7
802.8,563
806.1,564.1
809.1,566.1
805.8,568.1
807.8,568.9
808.5,568.4
809.2,569.4
807.7,572.1
807.1,573.4
808.5,574.1
810.4,574.5
810.8,575.2
810.8,577.6
813.4,578.7
814.7,581.6
811.2,583.4
808.6,586.6
806.6,578.2
800.1,566.8
793.9,568.5
793.1,571.3
792.9,575
792.9,576.2
797,578
802.7,578.6
804,582.4
802.5,582.8
803.5,586.7
799.7,585.3
798.2,585.4
798.8,588.7
794,589.2
788.6,593.7
788.1,600
789.5,603.2
782.5,599.1
782.9,604
779.5,606.5
777.2,606.3
776.1,604.9
778.3,600.3
781.5,597.6
782.9,595.2
786.7,593.5
791.9,586.8
789.6,581.8
789.8,581.1
789,574.9
788.5,573.1
785.1,569.4
790.7,560.7
787.3,561.5
785.9,559.4
779,553.6
782.3,560.2
780.6,561.8
782.3,566.2
784.5,574.7
780.1,573.9
777.6,573.2
775.2,570.8
774.9,567.8
774.7,561.6
771.8,563
769.5,569
768.6,570.6
762,569.3
759.3,565.6
763.4,562.9
764,562.6
764.1,561.7
765.4,561
762.3,556.3
764.7,551.4
763,552
760.4,550
763.8,547.3
763.4,547.2
760.8,542.9
764.3,538.3
762.7,538
761.8,536
763.9,531.6
763.1,529.1
759.9,524.5
758,521.1
757.9,528.8
759.8,529.5
755.4,540.6
759.2,543.4
757.9,543.9
753.2,551.3
755.3,552.5
754.7,559.7
755.2,565.6
747.1,551.8
751.4,544.7
751,540.7
750.7,540.2
752.6,537.3
752,535.9
749.2,530.7
742.7,531.2
738.1,529.3
736,524.3
728.8,523.7
732.5,520.5
732.1,519.4
730.9,519.6
732.6,516.6
731.7,515.7
733.8,512.1
732.6,511.9
726.1,516.1
723.5,516.1
724.9,522.5
724.8,524.2
724.5,526.5
723.3,525.6
721.7,527.9
719.8,531.8
718.7,530.3
716.9,528.8
717,527.1
716.7,524.8
716.1,525.1
715.8,525.2
715.2,524.5
719,519.4
715.9,517.6
710.2,520.1
707.9,517.8
703.3,517.7
703.2,510.7
702,503.9
699.3,501.9
696.6,505.1
696,507.9
696,509.8
696.8,513.1
693.3,508.3
689.7,511
691,512.5
692.1,517.1
691.3,520.4
694.9,521.5
685.5,515.3
686.7,513.7
687.4,513.9
688.4,511.1
689.2,500.9
695.3,497.8
696.5,495.3
693.7,494.8
694.5,494.1
696.4,490.9
696.8,487.3
696.6,486.8
700.7,485.4
702.6,481.5
701.6,481
695.9,481
693.1,485.4
691.2,485.2
689.3,490
683.6,497.3
676.3,490.7
676.3,486
680.9,481.7
676.1,482.1
670.7,494.2
669.8,493.6
665.7,494.2
666.2,498.6
666.2,498.9
668.3,503.7
668.8,501.4
675.9,497.8
676.5,499.1
673,506.4
672.3,507.4
669.7,508.1
673.8,508.8
679.2,517
678.8,518.9
682.5,519.6
681.7,523.5
682.9,523.8
686,524.9
676.8,525.5
674.1,523.2
673.9,517
672.5,517.2
661,518.6
659.6,517.8
660.1,522.6
660.8,528.5
665.5,525.1
666.2,525.4
667.4,529.9
664.2,530.9
661.4,533.9
655.5,526.4
653.7,524.5
652.5,521.4
654.6,517.6
656,517.6
657.6,515.9
663.8,512.3
662.9,510.5
664.5,507.7
659.3,500.5
657.5,500.1
662.1,494.8
656.4,489.7
661.2,485.4
667.8,484.3
665.2,482.8
665.1,478.1
665.4,477.9
665.7,476.9
670,475.2
673.4,468.6
667.1,458
665.9,457.3
661.9,454
660.4,451
659.4,448.4
659.4,450.4
658,454.7
653.6,453.9
651,459.3
649.4,462.3
651.1,465
652.8,466.2
656.2,464.9
659.8,465
659.2,466.6
659.9,466.9
660.3,471.3
662.8,472.5
660.8,476.5
661.8,478.2
653,480.8
648.4,480.3
653.8,473.1
652.4,472.1
649.2,470.5
647.8,470.8
647,469.4
644.9,470.1
641.7,471.3
642.6,475.4
641,477.3
644.1,478.4
645,481
639.6,482.4
631.3,484.7
635.2,490.8
637.6,489.7
641.3,485.5
643.6,486.5
647.8,486.4
647.5,491.1
650.2,494.2
650.4,497.9
655,501.4
655.4,503.3
651.9,503.7
653.5,505.5
653.3,513.2
651.3,511.8
643.8,510.9
643.8,505.9
647.6,503.1
636.8,498.2
632.9,494.4
631,493.8
629.1,498.3
